task1.time,task1.EpoRJAK2,task1.EpoRpJAK2,task1.p1EpoRpJAK2,task1.p2EpoRpJAK2,task1.p12EpoRpJAK2,task1.SHP1,task1.SHP1Act,task1.STAT5,task1.pSTAT5,task1.npSTAT5,task1.CISRNA,task1.CIS,task1.SOCS3RNA,task1.SOCS3
0.0,3.97622,0.0,0.0,0.0,0.0,26.7251,0.0,79.7535,0.0,0.0,0.0,0.0,0.0,0.0
0.25,3.898310973037035,0.06833510081892528,0.002237748177003757,0.007019452208004366,0.0003167257909881425,26.72503437248104,6.562751896886552e-05,79.73813147531537,0.015334318799834441,4.975401428645885e-05,3.809348838132865e-18,3.872336115272453e-19,1.7559427049506707e-17,3.03855097889802e-15
0.5,3.821951941343223,0.11928534324960421,0.007638657327233204,0.025054510100889035,0.002289548005495833,26.72483940224044,0.00026059775956366045,79.6907341677748,0.062491427961721295,0.00039913347418238626,9.617520966367076e-16,1.9498700826907584e-16,7.769974679661067e-15,1.3469290705458108e-12
0.75,3.7471709931321167,0.15692180280049653,0.014704424278609417,0.05042453620828475,0.006998243606590019,26.724517976005888,0.0005820239941188601,79.60342782114171,0.1491231444623294,0.0013804136669024944,2.4258101618651143e-14,7.380677283274387e-15,2.617880388516265e-13,4.540811651601386e-11
1.0,3.674031320928746,0.18435284969000756,0.02242012246076261,0.08036126395215754,0.015054442994438753,26.72407305343482,0.0010269465651947377,79.45665968257993,0.2944705350201033,0.003446956218165984,2.390241126911493e-13,9.698291141437602e-14,3.0761215371822884e-12,5.337233991721455e-10
1.25,3.6026276045483976,0.20395725501133694,0.03011607668664735,0.11278566711624922,0.02673339666348817,26.723507722729906,0.0015922772701048693,79.21605891908114,0.5324226129650735,0.007299589750998324,1.4116537534792758e-12,7.152641367349724e-13,2.0356854037576438e-11,3.5326475751880126e-09
1.5,3.5330822495260006,0.21755971452872813,0.03736766052234289,0.14614111760802814,0.04206925784102042,26.722825249950066,0.002274750049952967,78.83112036484125,0.912733077467362,0.014031356642033291,6.048624047086336e-12,3.668606029271736e-12,9.400203984890373e-11,1.63146444702261e-08
1.75,3.4655414122985704,0.2265633309781955,0.04392270353209352,0.17926845576648912,0.060924097450770986,26.72202912172084,0.003070878279182557,78.23582463079252,1.5003008012607817,0.025272098831575492,2.082313887765003e-11,1.4676022056397606e-11,3.397353507139039e-10,5.8968046816975146e-08
2.0,3.400170770649205,0.23204983721585368,0.04964900333202447,0.21131231068798015,0.08303807814105635,26.721123080960332,0.003976919039684532,77.35141045758657,2.372311716923824,0.043313200712195084,6.120882439991451e-11,4.903572666985069e-11,1.0292726702615514e-09,1.7866221812925438e-07
2.25,3.3371510253716377,0.2348555561964756,0.05449648795626929,0.24165075895845345,0.10806617154328349,26.72011115519026,0.004988844809760506,76.09153723614801,3.613018933945533,0.07119102531850928,1.5973732234889656e-10,1.4300200619386976e-10,2.7321437754635988e-09,4.7427023677871654e-07
2.5,3.276673146751096,0.23562906289957514,0.05847004834111885,0.26984241529336567,0.13560532674096373,26.718997677003838,0.00610232299617397,74.36996510489594,5.306049360271827,0.1127062324832781,3.799829232019702e-10,3.7504613587101106e-10,6.547428132530983e-09,1.1366029709909002e-06
2.75,3.2189334066088997,0.23487501086013793,0.06161013487489779,0.29558653341432634,0.16521491426785706,26.717787296310632,0.007312703689380737,72.11061801641839,7.524386780067882,0.17235665965636943,8.392649838117991e-10,9.034639110736828e-10,1.4466613877260819e-08,2.5114098214680168e-06
3.0,3.164128262399158,0.23298747204810816,0.0639789952585393,0.31869279893225,0.19643247138806322,26.716484984069368,0.008615015930642176,69.259500734741,10.318573247365004,0.2551651169367581,1.7441293651506625e-09,2.0299735636064594e-09,2.992032056975139e-08,5.194303924199979e-06
3.25,3.112449183030375,0.23027531461582793,0.06565100113947395,0.33905831655364577,0.2287861846867957,26.715096027356935,0.010003972643070628,65.79746805043104,13.704137912916103,0.36639132604055746,3.4438534546313476e-09,4.3031315464712106e-09,5.857127280372539e-08,1.0168444965498416e-05
3.5,3.064077525421472,0.2269815234366067,0.0667059308861196,0.3566499148786118,0.26180510540330854,26.713626015788503,0.011473984211506895,61.75234727103197,17.649751170424047,0.5111295397003516,6.508427233746172e-09,8.680652210170402e-09,1.0942099977739966e-07,1.899669673604938e-05
3.75,3.019179585435291,0.22329790387730647,0.06722438321496678,0.37149036158570126,0.29502776591285235,26.71208081948719,0.013019180512819622,57.20837964822047,22.068125849559326,0.6938101850475944,1.1838636479850215e-08,1.677623584578573e-08,1.9629601437574818e-07,3.4079678225329864e-05
4.0,2.9779019547834804,0.21937627857199132,0.06728471436718465,0.38364742447974276,0.32800962782371923,26.71046655904833,0.014633440951680128,52.31027954825294,26.812338451302423,0.9176465461013122,2.081659808661049e-08,3.122347558480595e-08,3.397648370485972e-07,5.898862932721734e-05
4.25,2.9403673168642284,0.2153370084306279,0.06696106457997433,0.39322500154550694,0.3603296086057812,26.70878956813534,0.01631043186466499,47.25836410891383,31.681069784267475,1.1840961553726963,3.55055507376071e-08,5.619737723177225e-08,5.695127064953111e-07,9.887775459841809e-05
4.5,2.9066708086883533,0.21127548107824767,0.0663221559640419,0.400355744715712,0.3915958095797632,26.707056349573886,0.018043650426121167,42.2907317906788,36.436713988290805,1.492442503316986,5.89074187185339e-08,9.814188990229665e-08,9.271612326882546e-07,0.00016097383515191032
