Time-Course Task

Problem Description:
    AutomaticStepSize: 0
    StepNumber: 1000
    StepSize: 0.25
    Duration: 250
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Start in Steady State: 0
    Use Values: 0
    Values: 

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-06
    Absolute Tolerance: 1e-12
    Max Internal Steps: 100000
    Max Internal Step Size: 0


Time-Course Result:

# Time	EpoRJAK2	EpoRpJAK2	STAT5	CIS	SOCS3	p12EpoRpJAK2	SHP1	CISRNA	SOCS3RNA	CISnRNA1	CISnRNA3	SOCS3nRNA1	SOCS3nRNA3	npSTAT5	CISnRNA4	p2EpoRpJAK2	SOCS3nRNA4	EpoRJAK2_CIS	SOCS3nRNA2	CISnRNA2	CISnRNA5	SOCS3nRNA5	pSTAT5	p1EpoRpJAK2	SHP1Act	
51	3.70143	0.136666	46.525	5.56193	7.10809	0.0360845	26.5831	0.111942	0.0409328	1431.25	1466.17	0.00150386	0.00154719	15.1469	1337.12	0.0824778	0.0015687	-7.48937e-29	0.00152556	1493.59	1124.71	0.00159003	22.815	0.0195641	0.141989	
51.25	3.70215	0.136505	46.6747	5.65224	7.14372	0.0358613	26.5829	0.112702	0.041138	1426.91	1467.1	0.00149808	0.00154143	15.0878	1341.73	0.0821926	0.00156297	-6.10207e-29	0.00151979	1491.3	1132.34	0.00158435	22.706	0.0195097	0.142158	
51.5	3.70287	0.136345	46.8236	5.74305	7.1791	0.0356414	26.5828	0.113451	0.0413417	1422.55	1467.92	0.0014923	0.00153567	15.0288	1346.2	0.0819108	0.00155723	-5.04506e-29	0.00151401	1488.93	1139.87	0.00157865	22.5976	0.0194558	0.142325	
51.75	3.70357	0.136187	46.9717	5.83434	7.21423	0.0354247	26.5826	0.114189	0.041544	1418.16	1468.62	0.00148652	0.0015299	14.9698	1350.54	0.0816322	0.00155149	-4.54893e-29	0.00150823	1486.49	1147.28	0.00157295	22.49	0.0194025	0.14249	
52	3.70427	0.136031	47.1192	5.92611	7.2491	0.0352113	26.5824	0.114916	0.0417448	1413.74	1469.22	0.00148074	0.00152413	14.9109	1354.75	0.081357	0.00154574	-3.80606e-29	0.00150245	1483.98	1154.58	0.00156723	22.3831	0.0193498	0.142655	
52.25	3.70496	0.135875	47.2659	6.01834	7.28372	0.0350011	26.5823	0.115631	0.0419442	1409.3	1469.69	0.00147496	0.00151836	14.852	1358.82	0.0810849	0.00153999	-2.93895e-29	0.00149667	1481.41	1161.77	0.00156151	22.2768	0.0192976	0.142817	
52.5	3.70564	0.135721	47.412	6.11102	7.31808	0.0347939	26.5821	0.116335	0.042142	1404.84	1470.06	0.00146919	0.00151259	14.7931	1362.77	0.080816	0.00153423	-2.24996e-29	0.00149089	1478.76	1168.84	0.00155578	22.1712	0.019246	0.142978	
52.75	3.70632	0.135568	47.5573	6.20414	7.35219	0.0345898	26.582	0.117028	0.0423385	1400.35	1470.32	0.00146342	0.00150681	14.7344	1366.59	0.0805503	0.00152847	-1.75385e-29	0.00148512	1476.06	1175.8	0.00155004	22.0663	0.0191949	0.143138	
53	3.70698	0.135417	47.7019	6.29768	7.38605	0.0343887	26.5818	0.11771	0.0425334	1395.85	1470.48	0.00145766	0.00150104	14.6757	1370.28	0.0802876	0.0015227	-1.45308e-29	0.00147935	1473.28	1182.65	0.00154429	21.9621	0.0191444	0.143296	
53.25	3.70764	0.135267	47.8458	6.39165	7.41965	0.0341905	26.5816	0.11838	0.0427269	1391.32	1470.53	0.00145191	0.00149527	14.6171	1373.84	0.080028	0.00151694	-1.33606e-29	0.00147358	1470.45	1189.39	0.00153854	21.8585	0.0190943	0.143453	
53.5	3.70829	0.135118	47.989	6.48602	7.453	0.0339952	26.5815	0.119039	0.042919	1386.77	1470.47	0.00144615	0.00148949	14.5586	1377.28	0.0797714	0.00151117	-1.20887e-29	0.00146781	1467.56	1196	0.00153279	21.7555	0.0190449	0.143608	
53.75	3.70893	0.13497	48.1314	6.58079	7.4861	0.0338028	26.5813	0.119686	0.0431096	1382.21	1470.32	0.00144041	0.00148372	14.5001	1380.59	0.0795178	0.0015054	-8.87256e-30	0.00146205	1464.6	1202.51	0.00152703	21.6533	0.0189959	0.143762	
54	3.70957	0.134824	48.2732	6.67594	7.51895	0.0336131	26.5812	0.120322	0.0432988	1377.62	1470.06	0.00143467	0.00147796	14.4418	1383.78	0.0792671	0.00149963	-3.36446e-30	0.00145629	1461.59	1208.9	0.00152127	21.5516	0.0189474	0.143915	
54.25	3.7102	0.134679	48.4142	6.77146	7.55155	0.0334262	26.581	0.120947	0.0434865	1373.02	1469.71	0.00142894	0.00147219	14.3835	1386.84	0.0790193	0.00149386	6.10871e-30	0.00145054	1458.53	1215.17	0.00151551	21.4506	0.0188995	0.144066	
54.5	3.71082	0.134535	48.5545	6.86735	7.58389	0.033242	26.5809	0.121559	0.0436728	1368.41	1469.25	0.00142322	0.00146643	14.3253	1389.77	0.0787744	0.00148809	2.15764e-29	0.0014448	1455.4	1221.32	0.00150975	21.3503	0.0188521	0.144216	
54.75	3.71143	0.134393	48.6941	6.96358	7.61599	0.0330604	26.5807	0.12216	0.0438576	1363.78	1468.7	0.00141751	0.00146067	14.2673	1392.59	0.0785324	0.00148233	4.54505e-29	0.00143906	1452.23	1227.36	0.00150398	21.2506	0.0188051	0.144365	
55	3.71204	0.134251	48.833	7.06015	7.64784	0.0328814	26.5806	0.12275	0.044041	1359.13	1468.06	0.0014118	0.00145492	14.2093	1395.28	0.0782931	0.00147657	7.36995e-29	0.00143333	1449	1233.28	0.00149822	21.1515	0.0187587	0.144512	
55.25	3.71263	0.134111	48.9712	7.15705	7.67943	0.032705	26.5804	0.123328	0.0442229	1354.48	1467.32	0.00140611	0.00144918	14.1515	1397.86	0.0780566	0.00147081	9.43999e-29	0.0014276	1445.72	1239.09	0.00149246	21.0531	0.0187127	0.144658	
55.5	3.71323	0.133973	49.1087	7.25427	7.71078	0.0325311	26.5803	0.123894	0.0444035	1349.81	1466.5	0.00140042	0.00144344	14.0938	1400.31	0.0778228	0.00146505	1.15586e-28	0.00142188	1442.4	1244.78	0.0014867	20.9553	0.0186673	0.144802	
55.75	3.71381	0.133835	49.2455	7.35179	7.74189	0.0323597	26.5802	0.124448	0.0445826	1345.13	1465.58	0.00139475	0.0014377	14.0362	1402.65	0.0775917	0.0014593	1.36063e-28	0.00141618	1439.02	1250.35	0.00148094	20.8581	0.0186223	0.144946	
56	3.71439	0.133699	49.3816	7.44961	7.77274	0.0321907	26.58	0.124991	0.0447603	1340.43	1464.58	0.00138909	0.00143198	13.9787	1404.87	0.0773632	0.00145356	1.54278e-28	0.00141048	1435.6	1255.8	0.00147518	20.7616	0.0185778	0.145088	
56.25	3.71496	0.133563	49.5169	7.5477	7.80335	0.032024	26.5799	0.125522	0.0449365	1335.73	1463.48	0.00138343	0.00142626	13.9214	1406.97	0.0771374	0.00144782	1.68297e-28	0.00140479	1432.13	1261.14	0.00146943	20.6656	0.0185337	0.145229	
56.5	3.71553	0.133429	49.6516	7.64607	7.83371	0.0318598	26.5797	0.126042	0.0451113	1331.02	1462.31	0.00137779	0.00142055	13.8642	1408.96	0.0769142	0.00144208	1.7756e-28	0.00139911	1428.62	1266.36	0.00146368	20.5703	0.0184901	0.145368	
56.75	3.71609	0.133297	49.7856	7.7447	7.86383	0.0316978	26.5796	0.12655	0.0452848	1326.3	1461.05	0.00137216	0.00141485	13.8071	1410.83	0.0766935	0.00143635	1.91574e-28	0.00139344	1425.07	1271.46	0.00145793	20.4755	0.018447	0.145507	
57	3.71664	0.133165	49.9188	7.84358	7.8937	0.0315382	26.5795	0.127046	0.0454568	1321.58	1459.7	0.00136654	0.00140915	13.7502	1412.6	0.0764754	0.00143063	2.03182e-28	0.00138778	1421.47	1276.45	0.00145219	20.3814	0.0184044	0.145644	
57.25	3.71718	0.133035	50.0514	7.94269	7.92332	0.0313807	26.5793	0.127531	0.0456274	1316.84	1458.28	0.00136094	0.00140347	13.6934	1414.24	0.0762598	0.00142492	2.11774e-28	0.00138213	1417.84	1281.32	0.00144646	20.2879	0.0183621	0.14578	
57.5	3.71772	0.132905	50.1833	8.04204	7.95271	0.0312255	26.5792	0.128004	0.0457966	1312.1	1456.78	0.00135535	0.0013978	13.6367	1415.78	0.0760466	0.00141922	2.16713e-28	0.0013765	1414.16	1286.07	0.00144073	20.195	0.0183204	0.145914	
57.75	3.71826	0.132777	50.3144	8.1416	7.98185	0.0310724	26.5791	0.128466	0.0459644	1307.36	1455.2	0.00134977	0.00139213	13.5802	1417.21	0.0758359	0.00141352	2.17333e-28	0.00137087	1410.45	1290.71	0.001435	20.1027	0.018279	0.146048	
58	3.71878	0.13265	50.4449	8.24136	8.01075	0.0309214	26.5789	0.128916	0.0461308	1302.6	1453.54	0.0013442	0.00138648	13.5239	1418.53	0.0756276	0.00140783	2.1295e-28	0.00136526	1406.7	1295.23	0.00142929	20.0109	0.0182381	0.14618	
58.25	3.7193	0.132524	50.5747	8.34132	8.03941	0.0307726	26.5788	0.129354	0.0462959	1297.85	1451.81	0.00133865	0.00138084	13.4677	1419.75	0.0754216	0.00140215	2.0899e-28	0.00135966	1402.92	1299.63	0.00142358	19.9198	0.0181977	0.146312	
58.5	3.71982	0.1324	50.7038	8.44146	8.06782	0.0306258	26.5787	0.129781	0.0464595	1293.09	1450	0.00133311	0.00137521	13.4116	1420.85	0.075218	0.00139648	2.02997e-28	0.00135408	1399.1	1303.92	0.00141788	19.8292	0.0181576	0.146442	
58.75	3.72033	0.132276	50.8321	8.54177	8.096	0.030481	26.5785	0.130197	0.0466218	1288.33	1448.12	0.00132759	0.00136959	13.3558	1421.86	0.0750168	0.00139083	1.95464e-28	0.0013485	1395.24	1308.1	0.00141219	19.7393	0.018118	0.146571	
59	3.72083	0.132153	50.9599	8.64225	8.12394	0.0303382	26.5784	0.130601	0.0467827	1283.56	1446.17	0.00132208	0.00136398	13.3001	1422.76	0.0748178	0.00138518	1.87236e-28	0.00134294	1391.36	1312.16	0.00140651	19.6499	0.0180788	0.146699	
59.25	3.72133	0.132032	51.0869	8.74287	8.15164	0.0301974	26.5783	0.130994	0.0469422	1278.8	1444.15	0.00131659	0.00135839	13.2445	1423.55	0.0746211	0.00137954	1.79396e-28	0.0013374	1387.44	1316.1	0.00140084	19.561	0.01804	0.146826	
59.5	3.72182	0.131912	51.2132	8.84364	8.1791	0.0300585	26.5781	0.131375	0.0471003	1274.03	1442.07	0.00131111	0.00135281	13.1891	1424.25	0.0744266	0.00137392	1.7328e-28	0.00133187	1383.49	1319.93	0.00139517	19.4728	0.0180016	0.146951	
59.75	3.72231	0.131793	51.3388	8.94454	8.20633	0.0299215	26.578	0.131745	0.0472571	1269.26	1439.91	0.00130565	0.00134724	13.1339	1424.84	0.0742344	0.00136831	1.62895e-28	0.00132635	1379.52	1323.65	0.00138952	19.3851	0.0179637	0.147076	
60	3.72279	0.131674	51.4638	9.04555	8.23332	0.0297864	26.5779	0.132104	0.0474125	1264.49	1437.7	0.0013002	0.00134169	13.0789	1425.34	0.0740443	0.00136271	1.50344e-28	0.00132085	1375.51	1327.26	0.00138388	19.298	0.0179261	0.1472	
60.25	3.72326	0.131557	51.5881	9.14668	8.26007	0.0296531	26.5778	0.132452	0.0475666	1259.72	1435.41	0.00129477	0.00133615	13.024	1425.74	0.0738564	0.00135712	1.37802e-28	0.00131536	1371.48	1330.75	0.00137825	19.2114	0.0178889	0.147322	
60.5	3.72373	0.131441	51.7117	9.2479	8.2866	0.0295216	26.5777	0.132789	0.0477193	1254.95	1433.07	0.00128936	0.00133062	12.9693	1426.04	0.0736706	0.00135154	1.25892e-28	0.00130989	1367.42	1334.13	0.00137263	19.1254	0.0178521	0.147444	
60.75	3.7242	0.131327	51.8346	9.34921	8.31288	0.0293919	26.5775	0.133114	0.0478707	1250.19	1430.66	0.00128396	0.00132511	12.9148	1426.25	0.0734869	0.00134598	1.15323e-28	0.00130443	1363.34	1337.41	0.00136702	19.0399	0.0178157	0.147564	
61	3.72466	0.131213	51.9569	9.4506	8.33894	0.029264	26.5774	0.133429	0.0480208	1245.42	1428.2	0.00127858	0.00131961	12.8605	1426.36	0.0733053	0.00134043	1.06888e-28	0.00129899	1359.23	1340.57	0.00136143	18.955	0.0177797	0.147684	
61.25	3.72511	0.1311	52.0785	9.55206	8.36477	0.0291377	26.5773	0.133733	0.0481695	1240.66	1425.67	0.00127322	0.00131413	12.8063	1426.38	0.0731258	0.0013349	1.01472e-28	0.00129357	1355.1	1343.62	0.00135585	18.8707	0.0177441	0.147802	
61.5	3.72556	0.130988	52.1994	9.65357	8.39036	0.0290132	26.5772	0.134025	0.0483169	1235.9	1423.09	0.00126788	0.00130867	12.7524	1426.31	0.0729483	0.00132938	9.52348e-29	0.00128816	1350.95	1346.56	0.00135028	18.7869	0.0177088	0.14792	
61.75	3.72601	0.130877	52.3196	9.75514	8.41572	0.0288904	26.5771	0.134307	0.0484629	1231.15	1420.45	0.00126255	0.00130322	12.6986	1426.15	0.0727728	0.00132387	8.85118e-29	0.00128277	1346.77	1349.39	0.00134472	18.7036	0.017674	0.148036	
62	3.72644	0.130767	52.4392	9.85674	8.44086	0.0287692	26.5769	0.134579	0.0486077	1226.39	1417.76	0.00125724	0.00129778	12.645	1425.9	0.0725993	0.00131838	8.28135e-29	0.0012774	1342.58	1352.11	0.00133918	18.6209	0.0176394	0.148151	
62.25	3.72688	0.130659	52.5581	9.95837	8.46577	0.0286496	26.5768	0.134839	0.0487511	1221.65	1415.01	0.00125194	0.00129237	12.5916	1425.56	0.0724277	0.00131291	7.80601e-29	0.00127204	1338.36	1354.73	0.00133365	18.5387	0.0176053	0.148266	
62.5	3.72731	0.130551	52.6763	10.06	8.49045	0.0285316	26.5767	0.135089	0.0488932	1216.9	1412.21	0.00124667	0.00128696	12.5384	1425.13	0.0722581	0.00130745	7.40895e-29	0.0012667	1334.13	1357.24	0.00132814	18.457	0.0175715	0.14838	
62.75	3.72773	0.130444	52.7939	10.1617	8.5149	0.0284152	26.5766	0.135328	0.0490341	1212.16	1409.36	0.00124141	0.00128158	12.4854	1424.62	0.0720904	0.001302	7.06491e-29	0.00126138	1329.88	1359.65	0.00132264	18.3759	0.0175381	0.148492	
63	3.72815	0.130338	52.9109	10.2633	8.53913	0.0283003	26.5765	0.135557	0.0491736	1207.43	1406.45	0.00123618	0.00127621	12.4326	1424.03	0.0719246	0.00129658	6.7388e-29	0.00125607	1325.61	1361.95	0.00131715	18.2952	0.017505	0.148604	
63.25	3.72857	0.130234	53.0271	10.365	8.56314	0.028187	26.5764	0.135776	0.0493118	1202.71	1403.5	0.00123096	0.00127086	12.38	1423.35	0.0717607	0.00129116	6.55399e-29	0.00125079	1321.32	1364.14	0.00131168	18.2152	0.0174723	0.148715	
63.5	3.72898	0.13013	53.1427	10.4666	8.58692	0.0280752	26.5763	0.135984	0.0494488	1197.99	1400.51	0.00122576	0.00126552	12.3275	1422.59	0.0715986	0.00128577	6.51666e-29	0.00124552	1317.02	1366.23	0.00130623	18.1356	0.0174399	0.148824	
63.75	3.72938	0.130027	53.2577	10.5682	8.61048	0.0279648	26.5762	0.136182	0.0495845	1193.27	1397.46	0.00122058	0.00126021	12.2753	1421.75	0.0714384	0.00128039	6.53006e-29	0.00124027	1312.71	1368.22	0.00130079	18.0565	0.0174078	0.148933	
64	3.72978	0.129925	53.372	10.6698	8.63382	0.0278559	26.5761	0.13637	0.0497189	1188.57	1394.37	0.00121541	0.00125491	12.2233	1420.84	0.0712799	0.00127503	6.56546e-29	0.00123504	1308.38	1370.11	0.00129537	17.978	0.0173761	0.149041	
64.25	3.73018	0.129824	53.4857	10.7713	8.65694	0.0277484	26.576	0.136548	0.049852	1183.87	1391.24	0.00121027	0.00124963	12.1715	1419.84	0.0711233	0.00126968	6.58785e-29	0.00122982	1304.03	1371.89	0.00128996	17.8999	0.0173448	0.149149	
64.5	3.73057	0.129724	53.5987	10.8727	8.67984	0.0276424	26.5758	0.136715	0.0499839	1179.18	1388.06	0.00120515	0.00124437	12.1199	1418.77	0.0709684	0.00126435	6.55552e-29	0.00122463	1299.68	1373.58	0.00128457	17.8224	0.0173137	0.149255	
64.75	3.73096	0.129625	53.7111	10.9741	8.70252	0.0275377	26.5757	0.136873	0.0501145	1174.49	1384.84	0.00120004	0.00123912	12.0684	1417.62	0.0708152	0.00125904	6.41977e-29	0.00121945	1295.31	1375.16	0.0012792	17.7454	0.017283	0.14936	
65	3.73134	0.129527	53.8228	11.0754	8.72498	0.0274344	26.5756	0.137021	0.0502438	1169.82	1381.58	0.00119496	0.0012339	12.0172	1416.39	0.0706638	0.00125375	6.34399e-29	0.0012143	1290.93	1376.65	0.00127384	17.6688	0.0172526	0.149465	
65.25	3.73172	0.12943	53.9339	11.1767	8.74723	0.0273325	26.5755	0.13716	0.0503719	1165.15	1378.28	0.00118989	0.00122869	11.9662	1415.1	0.070514	0.00124847	6.40795e-29	0.00120916	1286.55	1378.04	0.0012685	17.5928	0.0172226	0.149568	
65.5	3.7321	0.129334	54.0444	11.2778	8.76926	0.0272319	26.5754	0.137288	0.0504988	1160.5	1374.94	0.00118485	0.0012235	11.9154	1413.73	0.070366	0.00124322	6.47877e-29	0.00120404	1282.15	1379.33	0.00126318	17.5173	0.0171929	0.149671	
65.75	3.73247	0.129238	54.1542	11.3789	8.79108	0.0271326	26.5753	0.137408	0.0506244	1155.85	1371.56	0.00117982	0.00121833	11.8648	1412.29	0.0702196	0.00123798	6.55591e-29	0.00119894	1277.74	1380.53	0.00125787	17.4422	0.0171634	0.149773	
66	3.73283	0.129144	54.2634	11.4798	8.81268	0.0270346	26.5752	0.137517	0.0507489	1151.21	1368.15	0.00117482	0.00121318	11.8145	1410.78	0.0700749	0.00123276	6.64124e-29	0.00119386	1273.32	1381.63	0.00125259	17.3677	0.0171343	0.149874	
66.25	3.73319	0.12905	54.3719	11.5806	8.83407	0.0269378	26.5751	0.137618	0.050872	1146.58	1364.7	0.00116983	0.00120805	11.7643	1409.2	0.0699318	0.00122756	6.7394e-29	0.0011888	1268.9	1382.64	0.00124732	17.2936	0.0171055	0.149975	
66.5	3.73355	0.128957	54.4799	11.6813	8.85525	0.0268424	26.575	0.137709	0.050994	1141.97	1361.21	0.00116487	0.00120294	11.7143	1407.56	0.0697903	0.00122237	6.85808e-29	0.00118376	1264.47	1383.56	0.00124207	17.22	0.017077	0.150074	
66.75	3.73391	0.128866	54.5872	11.7819	8.87622	0.0267481	26.5749	0.137791	0.0511148	1137.36	1357.7	0.00115992	0.00119784	11.6646	1405.85	0.0696503	0.00121721	6.94619e-29	0.00117874	1260.03	1384.38	0.00123683	17.1469	0.0170488	0.150173	
67	3.73426	0.128775	54.6939	11.8823	8.89699	0.0266551	26.5748	0.137864	0.0512343	1132.77	1354.15	0.001155	0.00119277	11.6151	1404.07	0.069512	0.00121206	6.95519e-29	0.00117375	1255.59	1385.11	0.00123162	17.0743	0.0170209	0.150271	
67.25	3.7346	0.128685	54.7999	11.9826	8.91754	0.0265633	26.5747	0.137928	0.0513527	1128.18	1350.56	0.0011501	0.00118772	11.5657	1402.24	0.0693752	0.00120694	6.93059e-29	0.00116877	1251.14	1385.75	0.00122642	17.0021	0.0169933	0.150368	
67.5	3.73495	0.128595	54.9054	12.0827	8.93788	0.0264726	26.5746	0.137983	0.0514698	1123.61	1346.95	0.00114521	0.00118268	11.5166	1400.33	0.06924	0.00120183	6.86926e-29	0.00116381	1246.69	1386.3	0.00122125	16.9304	0.016966	0.150465	
67.75	3.73528	0.128507	55.0102	12.1827	8.95802	0.0263832	26.5745	0.138029	0.0515858	1119.05	1343.31	0.00114035	0.00117767	11.4677	1398.37	0.0691062	0.00119674	6.76902e-29	0.00115887	1242.23	1386.77	0.00121609	16.8592	0.016939	0.15056	
68	3.73562	0.12842	55.1144	12.2824	8.97795	0.0262949	26.5744	0.138066	0.0517006	1114.5	1339.63	0.00113551	0.00117267	11.4191	1396.35	0.068974	0.00119168	6.62877e-29	0.00115395	1237.77	1387.14	0.00121095	16.7884	0.0169123	0.150655	
68.25	3.73595	0.128333	55.2181	12.382	8.99768	0.0262077	26.5744	0.138095	0.0518142	1109.96	1335.93	0.00113069	0.0011677	11.3706	1394.27	0.0688432	0.00118663	6.44854e-29	0.00114905	1233.31	1387.43	0.00120583	16.7182	0.0168859	0.15075	
68.5	3.73628	0.128247	55.3211	12.4815	9.01721	0.0261216	26.5743	0.138116	0.0519266	1105.44	1332.2	0.00112589	0.00116275	11.3224	1392.13	0.068714	0.0011816	6.22961e-29	0.00114418	1228.84	1387.64	0.00120073	16.6483	0.0168597	0.150843	
68.75	3.7366	0.128162	55.4235	12.5807	9.03653	0.0260367	26.5742	0.138128	0.0520379	1100.93	1328.45	0.00112111	0.00115781	11.2743	1389.93	0.0685861	0.00117659	5.9746e-29	0.00113932	1224.38	1387.76	0.00119565	16.5789	0.0168338	0.150936	
69	3.73692	0.128078	55.5252	12.6797	9.05566	0.0259528	26.5741	0.138131	0.052148	1096.43	1324.67	0.00111635	0.0011529	11.2265	1387.68	0.0684597	0.0011716	5.68757e-29	0.00113448	1219.91	1387.8	0.00119059	16.51	0.0168082	0.151028	
69.25	3.73724	0.127994	55.6264	12.7785	9.07458	0.02587	26.574	0.138127	0.052257	1091.94	1320.87	0.00111162	0.00114801	11.1789	1385.37	0.0683348	0.00116664	5.37412e-29	0.00112967	1215.44	1387.75	0.00118554	16.4416	0.0167829	0.151119	
69.5	3.73755	0.127912	55.727	12.8771	9.0933	0.0257882	26.5739	0.138114	0.0523648	1087.47	1317.04	0.0011069	0.00114314	11.1315	1383.01	0.0682112	0.00116169	5.0415e-29	0.00112487	1210.97	1387.63	0.00118052	16.3735	0.0167578	0.151209	
69.75	3.73786	0.12783	55.827	12.9755	9.11183	0.0257075	26.5738	0.138094	0.0524715	1083.01	1313.19	0.00110221	0.00113829	11.0844	1380.59	0.068089	0.00115676	4.69865e-29	0.0011201	1206.5	1387.42	0.00117552	16.306	0.016733	0.151299	
70	3.73817	0.127749	55.9264	13.0736	9.13016	0.0256278	26.5737	0.138065	0.0525771	1078.56	1309.32	0.00109753	0.00113346	11.0374	1378.13	0.0679682	0.00115185	4.35637e-29	0.00111535	1202.03	1387.13	0.00117054	16.2388	0.0167085	0.151388	
70.25	3.73847	0.127669	56.0252	13.1716	9.14829	0.0255492	26.5736	0.138029	0.0526815	1074.13	1305.42	0.00109288	0.00112865	10.9907	1375.61	0.0678487	0.00114697	4.00994e-29	0.00111062	1197.56	1386.77	0.00116557	16.1721	0.0166842	0.151477	
70.5	3.73877	0.127589	56.1235	13.2692	9.16623	0.0254715	26.5735	0.137985	0.0527848	1069.71	1301.51	0.00108825	0.00112386	10.9442	1373.05	0.0677306	0.0011421	3.63784e-29	0.00110591	1193.09	1386.32	0.00116063	16.1059	0.0166602	0.151564	
70.75	3.73906	0.127511	56.2211	13.3667	9.18397	0.0253948	26.5734	0.137933	0.052887	1065.31	1297.58	0.00108364	0.00111909	10.8979	1370.44	0.0676138	0.00113726	3.27579e-29	0.00110122	1188.63	1385.81	0.00115571	16.0401	0.0166365	0.151651	
71	3.73936	0.127433	56.3182	13.4638	9.20153	0.0253191	26.5734	0.137874	0.052988	1060.92	1293.62	0.00107905	0.00111435	10.8518	1367.78	0.0674983	0.00113243	2.93438e-29	0.00109655	1184.17	1385.21	0.00115081	15.9747	0.016613	0.151738	
71.25	3.73965	0.127356	56.4146	13.5607	9.21889	0.0252444	26.5733	0.137808	0.053088	1056.55	1289.65	0.00107449	0.00110962	10.806	1365.07	0.0673842	0.00112763	2.62537e-29	0.00109191	1179.71	1384.54	0.00114593	15.9097	0.0165898	0.151823	
71.5	3.73993	0.127279	56.5105	13.6574	9.23606	0.0251706	26.5732	0.137734	0.0531869	1052.19	1285.66	0.00106994	0.00110492	10.7604	1362.32	0.0672713	0.00112285	2.36182e-29	0.00108728	1175.25	1383.8	0.00114107	15.8452	0.0165668	0.151909	
71.75	3.74021	0.127204	56.6059	13.7537	9.25304	0.0250977	26.5731	0.137653	0.0532847	1047.84	1281.66	0.00106542	0.00110023	10.7149	1359.52	0.0671596	0.00111808	2.15804e-29	0.00108268	1170.8	1382.99	0.00113623	15.7811	0.016544	0.151993	
72	3.74049	0.127129	56.7006	13.8498	9.26983	0.0250257	26.573	0.137565	0.0533814	1043.51	1277.64	0.00106092	0.00109557	10.6697	1356.68	0.0670492	0.00111334	2.02968e-29	0.00107809	1166.35	1382.1	0.00113141	15.7174	0.0165215	0.152077	
72.25	3.74077	0.127055	56.7948	13.9456	9.28643	0.0249547	26.5729	0.13747	0.053477	1039.2	1273.6	0.00105643	0.00109093	10.6248	1353.8	0.0669401	0.00110862	1.93257e-29	0.00107353	1161.91	1381.15	0.00112661	15.6542	0.0164993	0.15216	
72.5	3.74104	0.126982	56.8884	14.0411	9.30285	0.0248845	26.5729	0.137368	0.0535715	1034.9	1269.56	0.00105198	0.00108631	10.58	1350.88	0.0668322	0.00110392	1.80344e-29	0.00106899	1157.47	1380.13	0.00112183	15.5913	0.0164773	0.152242	
72.75	3.74131	0.126909	56.9814	14.1364	9.31908	0.0248153	26.5728	0.137259	0.053665	1030.61	1265.49	0.00104754	0.00108171	10.5355	1347.91	0.0667255	0.00109925	1.70675e-29	0.00106447	1153.04	1379.03	0.00111708	15.5289	0.0164555	0.152324	
73	3.74158	0.126837	57.0739	14.2313	9.33513	0.0247469	26.5727	0.137144	0.0537574	1026.34	1261.41	0.00104312	0.00107713	10.4912	1344.91	0.06662	0.00109459	1.64001e-29	0.00105998	1148.61	1377.87	0.00111234	15.4669	0.016434	0.152405	
73.25	3.74185	0.126766	57.1658	14.3259	9.35099	0.0246793	26.5726	0.137022	0.0538488	1022.09	1257.33	0.00103872	0.00107258	10.4471	1341.87	0.0665157	0.00108995	1.59923e-29	0.0010555	1144.19	1376.65	0.00110763	15.4053	0.0164126	0.152486	
73.5	3.74211	0.126695	57.2572	14.4202	9.36668	0.0246126	26.5725	0.136894	0.0539391	1017.85	1253.23	0.00103435	0.00106804	10.4032	1338.79	0.0664126	0.00108534	1.5787e-29	0.00105105	1139.77	1375.36	0.00110293	15.3441	0.0163916	0.152566	
73.75	3.74237	0.126625	57.348	14.5142	9.38218	0.0245468	26.5725	0.136759	0.0540283	1013.63	1249.11	0.00103	0.00106353	10.3595	1335.68	0.0663106	0.00108075	1.57091e-29	0.00104661	1135.36	1374	0.00109826	15.2833	0.0163707	0.152646	
74	3.74262	0.126556	57.4383	14.6078	9.3975	0.0244817	26.5724	0.136618	0.0541166	1009.43	1244.99	0.00102567	0.00105904	10.3161	1332.53	0.0662098	0.00107617	1.56643e-29	0.0010422	1130.96	1372.58	0.00109361	15.2229	0.0163501	0.152725	
74.25	3.74287	0.126488	57.528	14.7012	9.41264	0.0244175	26.5723	0.13647	0.0542038	1005.24	1240.86	0.00102136	0.00105457	10.2729	1329.34	0.0661101	0.00107162	1.48101e-29	0.00103781	1126.56	1371.1	0.00108898	15.1629	0.0163297	0.152803	
74.5	3.74312	0.12642	57.6171	14.7942	9.4276	0.0243541	26.5722	0.136317	0.0542899	1001.06	1236.72	0.00101707	0.00105012	10.2299	1326.12	0.0660116	0.00106709	1.22764e-29	0.00103344	1122.18	1369.56	0.00108437	15.1033	0.0163095	0.15288	
74.75	3.74337	0.126353	57.7057	14.8868	9.44239	0.0242915	26.5721	0.136157	0.0543751	996.906	1232.57	0.0010128	0.00104569	10.1871	1322.87	0.0659141	0.00106259	8.13537e-30	0.00102909	1117.8	1367.96	0.00107978	15.0442	0.0162896	0.152958	
