Time-Course Task

Problem Description:
    AutomaticStepSize: 0
    StepNumber: 1000
    StepSize: 0.25
    Duration: 250
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Start in Steady State: 0
    Use Values: 0
    Values: 

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-06
    Absolute Tolerance: 1e-12
    Max Internal Steps: 100000
    Max Internal Step Size: 0


Time-Course Result:

# Time	EpoRJAK2	EpoRpJAK2	STAT5	CIS	SOCS3	p12EpoRpJAK2	SHP1	CISRNA	SOCS3RNA	CISnRNA1	CISnRNA3	SOCS3nRNA1	SOCS3nRNA3	npSTAT5	CISnRNA4	p2EpoRpJAK2	SOCS3nRNA4	EpoRJAK2_CIS	SOCS3nRNA2	CISnRNA2	CISnRNA5	SOCS3nRNA5	pSTAT5	p1EpoRpJAK2	SHP1Act	
3.5	3.06408	0.226982	61.7523	8.68056e-09	1.89966e-05	0.261805	26.7136	6.50839e-09	1.09421e-07	3.81353	0.0194049	2.11469e-05	3.1154e-06	0.51113	0.00118196	0.35665	1.09336e-06	3.32314e-27	8.37005e-06	0.287839	6.55507e-05	3.62292e-07	17.6498	0.0667059	0.011474	
3.75	3.01918	0.223298	57.2084	1.67761e-08	3.40796e-05	0.295028	26.7121	1.18386e-08	1.96296e-07	5.52422	0.0315408	2.99981e-05	4.8087e-06	0.69381	0.00203149	0.37149	1.76045e-06	2.91731e-27	1.23891e-05	0.442241	0.000119218	6.09216e-07	22.0681	0.0672244	0.0130192	
4	2.9779	0.219376	52.3103	3.12233e-08	5.89886e-05	0.32801	26.7105	2.08165e-08	3.39764e-07	7.79962	0.0498443	4.14449e-05	7.21502e-06	0.917647	0.00338617	0.383647	2.75059e-06	2.53863e-27	1.78466e-05	0.661738	0.000209601	9.91726e-07	26.8123	0.0672847	0.0146334	
4.25	2.94037	0.215337	47.2584	5.61971e-08	9.88777e-05	0.36033	26.7088	3.55055e-08	5.69512e-07	10.7491	0.0767527	5.5843e-05	1.05421e-05	1.1841	0.00548903	0.393225	4.17971e-06	2.19838e-27	2.50575e-05	0.966046	0.000357463	1.5673e-06	31.6811	0.0669611	0.0163104	
4.5	2.90667	0.211275	42.2907	9.81415e-08	0.000160974	0.391596	26.7071	5.89073e-08	9.27161e-07	14.4794	0.115375	7.34731e-05	1.50233e-05	1.49244	0.0086728	0.400356	6.18844e-06	1.83467e-27	3.43379e-05	1.37804	0.000593006	2.41008e-06	36.4367	0.0663222	0.0180437	
4.75	2.87688	0.207267	37.6503	1.66758e-07	0.000255132	0.42145	26.7053	9.52854e-08	1.46947e-06	19.0876	0.169574	9.45058e-05	2.09091e-05	1.83963	0.0133822	0.405195	8.94135e-06	1.66672e-27	4.59826e-05	1.92341	0.000959122	3.61271e-06	40.8385	0.0654306	0.0198265	
5	2.85102	0.203371	33.5409	2.76318e-07	0.000394434	0.449574	26.7034	1.50558e-07	2.27178e-06	24.6546	0.244033	0.000118976	2.84553e-05	2.2205	0.0201979	0.407914	1.2624e-05	1.47052e-27	6.02413e-05	2.63014	0.00151534	5.28728e-06	44.6861	0.0643428	0.0216522	
5.25	2.82909	0.199633	30.0873	4.47359e-07	0.000595803	0.475689	26.7016	2.32763e-07	3.43155e-06	31.2399	0.34429	0.000146773	3.79086e-05	2.62839	0.0298616	0.408698	1.74377e-05	1.22674e-27	7.72958e-05	3.5277	0.00234253	7.5651e-06	47.8592	0.0631085	0.0235142	
5.5	2.81106	0.196087	27.3185	7.08841e-07	0.000880574	0.499562	26.6997	3.526e-07	5.07165e-06	38.8794	0.47675	0.000177651	4.94901e-05	3.05607	0.0433013	0.407738	2.35913e-05	1.05869e-27	9.72425e-05	4.64622	0.0035483	1.05949e-05	50.3339	0.0617715	0.0254057	
5.75	2.79686	0.19276	25.1817	1.10081e-06	0.001275	0.521005	26.6978	5.24034e-07	7.34328e-06	47.5856	0.648659	0.00021126	6.33805e-05	3.49666	0.0616543	0.40523	3.1292e-05	7.79676e-28	0.000120085	6.01561	0.00527309	1.45395e-05	52.1679	0.0603694	0.0273202	
6	2.78637	0.189669	23.577	1.67764e-06	0.0018106	0.539876	26.6958	7.64961e-07	1.04279e-05	57.3509	0.868053	0.000247182	7.97079e-05	3.94417	0.0862899	0.401368	4.07346e-05	5.80783e-28	0.000145733	7.66478	0.00769688	1.95709e-05	53.4649	0.0589345	0.0292514	
6.25	2.77948	0.186825	22.392	2.5119e-06	0.00252434	0.556079	26.6939	1.09792e-06	1.45386e-05	68.1511	1.14368	0.000284976	9.85394e-05	4.39386	0.118827	0.396347	5.20909e-05	4.42511e-28	0.00017402	9.62105	0.0110463	2.58635e-05	54.3407	0.0574937	0.0311931	
6.5	2.776	0.184232	21.5243	3.69884e-06	0.00345863	0.569564	26.692	1.55085e-06	1.99194e-05	79.9505	1.48493	0.00032421	0.000119879	4.84211	0.16115	0.39035	6.55007e-05	3.65587e-28	0.000204712	11.9097	0.0156023	3.35876e-05	54.9003	0.0560692	0.0331393	
6.75	2.77577	0.181893	20.8905	5.36164e-06	0.004661	0.580321	26.69	2.15782e-06	2.6844e-05	92.7047	1.90168	0.000364481	0.00014367	5.28633	0.215419	0.383557	8.10643e-05	6.32968e-28	0.000237534	14.5536	0.0217075	4.29017e-05	55.2287	0.0546789	0.0350844	
7	2.77857	0.179802	20.427	7.65722e-06	0.00618362	0.588382	26.6881	2.95987e-06	3.5613e-05	106.364	2.40427	0.000405432	0.0001698	5.72468	0.284076	0.376134	9.88386e-05	-8.92952e-29	0.000272187	17.5732	0.0297744	5.39453e-05	55.3908	0.0533367	0.0370233	
7.25	2.78416	0.177953	20.0873	1.07829e-05	0.00808264	0.593813	26.6861	4.0057e-06	4.65496e-05	120.877	3.00331	0.000446753	0.000198114	6.1559	0.369851	0.368236	0.000118835	-5.80357e-29	0.000308362	20.9865	0.0402927	6.68331e-05	55.434	0.0520533	0.038951	
7.5	2.79233	0.176336	19.8378	1.49835e-05	0.0104172	0.596713	26.6842	5.35244e-06	5.99948e-05	136.19	3.70966	0.000488185	0.000228419	6.57914	0.475758	0.360005	0.000141023	-2.4288e-28	0.000345757	24.8088	0.0538367	8.16506e-05	55.3925	0.0508362	0.0408631	
7.75	2.80281	0.174939	19.6548	2.05594e-05	0.0132487	0.597208	26.6823	7.06636e-06	7.63013e-05	152.248	4.53429	0.000529512	0.000260501	6.99386	0.60509	0.351569	0.000165328	7.13315e-29	0.000384087	29.053	0.0710725	9.84505e-05	55.2904	0.0496904	0.0427555	
8	2.81537	0.173748	19.5212	2.78748e-05	0.0166393	0.595445	26.6805	9.22351e-06	9.5828e-05	168.998	5.48817	0.000570559	0.000294129	7.39972	0.761417	0.34304	0.000191644	2.91203e-28	0.000423086	33.7297	0.0927647	0.000117252	55.1449	0.0486185	0.0446245	
8.25	2.82974	0.172749	19.4252	3.73669e-05	0.0206514	0.591593	26.6786	1.19103e-05	0.000118933	186.388	6.58225	0.000611186	0.00032907	7.79651	0.948568	0.334518	0.000219834	8.26272e-29	0.000462515	38.8471	0.119782	0.000138041	54.9682	0.0476215	0.046467	
