time,EpoRJAK2_1,EpoRpJAK2_1,p1EpoRpJAK2_1,p2EpoRpJAK2_1,p12EpoRpJAK2_1,EpoRJAK2_CIS_1,SHP1_1,SHP1Act_1,STAT5_1,pSTAT5_1,npSTAT5_1,CISnRNA1_1,CISnRNA2_1,CISnRNA3_1,CISnRNA4_1,CISnRNA5_1,CISRNA_1,CIS_1,SOCS3nRNA1_1,SOCS3nRNA2_1,SOCS3nRNA3_1,SOCS3nRNA4_1,SOCS3nRNA5_1,SOCS3RNA_1,SOCS3_1,Epo_1
0.0,3.97622,0.0,0.0,0.0,0.0,0.0,26.7251,0.0,79.7535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24997e-07
0.25,3.898310973037035,0.06833510081892528,0.002237748177003757,0.007019452208004366,0.0003167257909881425,0.0,26.72503437248104,6.562751896886552e-05,79.73813147531537,0.015334318799834441,4.975401428645885e-05,3.8762703321209614e-05,2.7957803850032394e-07,1.6832501133116743e-09,8.703923690310503e-12,3.949258504769873e-14,3.809348838132865e-18,3.872336115272453e-19,3.078451344253918e-10,1.5836982954682856e-11,6.858763200190668e-13,2.5646363068260842e-14,8.443587358100218e-16,1.7559427049506707e-17,3.03855097889802e-15,1.24997e-07
0.5,3.821951941343223,0.11928534324960421,0.007638657327233204,0.025054510100889035,0.002289548005495833,0.0,26.72483940224044,0.00026059775956366045,79.6907341677748,0.062491427961721295,0.00039913347418238626,0.0006152055950212803,8.817261674356568e-06,1.0567393065586964e-07,1.0879070732209503e-09,9.816600316440625e-12,9.617520966367076e-16,1.9498700826907584e-16,4.679185364945581e-09,4.6414880176657905e-10,3.9146372076615357e-11,2.8664377295001145e-12,1.852869039398644e-13,7.769974679661067e-15,1.3469290705458108e-12,1.24997e-07
0.75,3.7471709931321167,0.15692180280049653,0.014704424278609417,0.05042453620828475,0.006998243606590019,0.0,26.724517976005888,0.0005820239941188601,79.60342782114171,0.1491231444623294,0.0013804136669024944,0.003129782444277822,6.655150951497734e-05,1.1883203510604764e-06,1.8265058209887062e-08,2.4630435257226784e-10,2.4258101618651143e-14,7.380677283274387e-15,2.2853088665081156e-08,3.2646576529973624e-09,4.0121344226336e-10,4.312403927997843e-11,4.11096049712782e-12,2.617880388516265e-13,4.540811651601386e-11,1.24997e-07
1.0,3.674031320928746,0.18435284969000756,0.02242012246076261,0.08036126395215754,0.015054442994438753,0.0,26.72407305343482,0.0010269465651947377,79.45665968257993,0.2944705350201033,0.003446956218165984,0.010115044544812879,0.00028199083617513757,6.644665553387637e-06,1.3526047318483149e-07,2.4205594893959813e-09,2.390241126911493e-13,9.698291141437602e-14,7.11240654226708e-08,1.2936712458287748e-08,2.05146403321066e-09,2.8696905735125357e-10,3.58064629027025e-11,3.0761215371822884e-12,5.337233991721455e-10,1.24997e-07
1.25,3.6026276045483976,0.20395725501133694,0.03011607668664735,0.11278566711624922,0.02673339666348817,0.0,26.723507722729906,0.0015922772701048693,79.21605891908114,0.5324226129650735,0.007299589750998324,0.025756838600867308,0.0008772538225866923,2.547323792881828e-05,6.421560860325907e-07,1.42731946706958e-08,1.4116537534792758e-12,7.152641367349724e-13,1.750356896637769e-07,3.7802175911360285e-08,7.221070604603923e-09,1.2285962682041686e-09,1.8768311668014658e-10,2.0356854037576438e-11,3.5326475751880126e-09,1.24997e-07
1.5,3.5330822495260006,0.21755971452872813,0.03736766052234289,0.14614111760802814,0.04206925784102042,0.0,26.722825249950066,0.002274750049952967,78.83112036484125,0.912733077467362,0.014031356642033291,0.05681915051426992,0.0022580861771167703,7.72754236011738e-05,2.309675794885099e-06,6.109417143569302e-08,6.048624047086336e-12,3.668606029271736e-12,3.745885440889809e-07,9.184715581045472e-08,2.0210131483802845e-08,4.001969120237959e-09,7.167122326140571e-10,9.400203984890373e-11,1.63146444702261e-08,1.24997e-07
1.75,3.4655414122985704,0.2265633309781955,0.04392270353209352,0.17926845576648912,0.060924097450770986,0.0,26.72202912172084,0.003070878279182557,78.23582463079252,1.5003008012607817,0.025272098831575492,0.11398635809630443,0.005121777393636214,0.00020020310598152676,6.880409540568285e-06,2.101705714621906e-07,2.082313887765003e-11,1.4676022056397606e-11,7.315753769683254e-07,1.9763651520305897e-07,4.856049907736251e-08,1.084886975589535e-08,2.2089431565486353e-09,3.397353507139039e-10,5.8968046816975146e-08,1.24997e-07
2.0,3.400170770649205,0.23204983721585368,0.04964900333202447,0.21131231068798015,0.08303807814105635,0.0,26.721123080960332,0.003976919039684532,77.35141045758657,2.372311716923824,0.043313200712195084,0.2135774041818736,0.010615827104141634,0.00046333271338070895,1.7899256920398116e-05,6.174542932467996e-07,6.120882439991451e-11,4.903572666985069e-11,1.3383102632176792e-06,3.90448787533822e-07,1.0478364536940959e-07,2.5815907676646494e-08,5.841192381146229e-09,1.0292726702615514e-09,1.7866221812925438e-07,1.24997e-07
2.25,3.3371510253716377,0.2348555561964756,0.05449648795626929,0.24165075895845345,0.10806617154328349,0.0,26.72011115519026,0.004988844809760506,76.09153723614801,3.613018933945533,0.07119102531850928,0.379524835704408,0.020557051432381467,0.0009852980666211818,4.2060291895692296e-05,1.6107081999732513e-06,1.5973732234889656e-10,1.4300200619386976e-10,2.326719653962996e-06,7.235516736179901e-07,2.087942362950192e-07,5.5776273529693927e-08,1.3782104078342617e-08,2.7321437754635988e-09,4.7427023677871654e-07,1.24997e-07
