task1.time,task1.npSTAT5,task2.npSTAT5,task3.npSTAT5
0.0,0.0,0.0,0.0
0.08,1.639598292466766e-06,4.775486768959482e-09,1.6394807453385214e-06
0.16,1.307577353309107e-05,3.7817645938214705e-08,1.3068356436437822e-05
0.24,4.4028555443754975e-05,1.271020452145106e-07,4.3945455272848996e-05
0.32,0.00010424710986303948,3.003520874078044e-07,0.00010378719542066712
0.4,0.00020369658001431138,5.850569348076828e-07,0.0002019674855477653
0.48,0.00035280625790795015,1.0084728910421225e-06,0.00034771749373423226
0.56,0.0005627725471703041,1.5976248192649626e-06,0.0005501252917365488
0.64,0.000845909678196281,2.379307718509353e-06,0.0008181353798213948
0.72,0.0012160411135162031,3.3800882598174634e-06,0.0011605480973140062
0.8,0.0016889256975737954,4.626306414853087e-06,0.0015860189291622877
0.88,0.002282711991927818,6.144077050006486e-06,0.0021030577093500823
0.96,0.0030184146186873575,7.959291494080212e-06,0.0027200277272963393
1.04,0.003920406459709028,1.0097619115712105e-05,0.003445144751318106
1.12,0.005016920435716544,1.258450891284368e-05,0.004286475968195051
1.2,0.006340554557154775,1.5445191059888446e-05,0.005251938846911777
1.28,0.00792877405037533,1.8704678509787003e-05,0.006349299935421861
1.36,0.009824403773911979,2.2387768582110716e-05,0.0075861735955253815
1.44,0.012076103987275206,2.6519044540326002e-05,0.008970020682168284
1.52,0.014738822825276563,3.1122877174257585e-05,0.010508147175704948
1.6,0.017874217919206657,3.622342637029483e-05,0.012207702773015285
1.68,0.021551039853154663,4.184464268556095e-05,0.014075679443755993
1.76,0.025845470039514734,4.801026892424614e-05,0.016118909961374647
1.84,0.03084140413845004,5.474384171015929e-05,0.018344066415316995
1.92,0.036630674120218754,6.206869305939257e-05,0.020757658707192463
2.0,0.043313200712248486,7.000795194836034e-05,0.023366033041519976
2.08,0.05099706703968038,7.85845458785088e-05,0.0261753704205652
2.16,0.0597985068397228,8.782120243923481e-05,0.02919168514942173
2.24,0.06984179938996193,9.774045086851151e-05,0.032420823355135346
2.32,0.08125906266633212,0.00010836462360898157,0.03586846152860443
2.4,0.0941899389421174,0.00011971585786066827,0.03954010509777499
2.48,0.10878116688568998,0.00013181609712643668,0.043441087039107075
2.56,0.125186033937077,0.0001446870927719249,0.04757656653228445
2.64,0.14356370466698734,0.00015835040553987897,0.051951527666403916
2.72,0.1640784229810797,0.00017282740712985909,0.05657077820498165
2.8000000000000003,0.18689858594467,0.00018813928166987043,0.06143894841524755
2.88,0.21219568701409072,0.00020430702730765235,0.06656048996884145
2.96,0.24014312813787442,0.00022135145765974132,0.07193967492001296
3.04,0.27091491831929054,0.00023929320338862754,0.07758059476754561
3.12,0.30468425458827164,0.00025815271365339445,0.08348715960755458
3.2,0.3416219694823783,0.00027795025765386564,0.08966309737812705
3.2800000000000002,0.38189488057336646,0.00029870592608961615,0.09611195321429548
3.36,0.4256640619499268,0.0003204396326651228,0.10283708890817711
3.44,0.47308303743167923,0.0003431711155558451,0.10984168248804045
3.52,0.5242959076492107,0.0003669199388693836,0.1171287277760666
3.6,0.5794354382944223,0.00039170549412269795,0.12470103432252233
3.68,0.6386211383681096,0.00041754700164789297,0.13256122730974523
3.7600000000000002,0.7019573511222684,0.00044446351209120525,0.14071174758121985
3.84,0.7695313927862272,0.0004724739077466133,0.1491548518208895
3.92,0.8414117738241355,0.0005015969040890376,0.15789261291564438
4.0,0.9176465460998968,0.0005318510510230542,0.16692692037570098
4.08,0.9982618220204745,0.0005632547344470287,0.17625948090089555
4.16,1.083260515066372,0.0005958261774278559,0.18589181911283195
4.24,1.1726213584172898,0.0006295834417671667,0.1958252784964237
4.32,1.2662982405077832,0.0006645444291234466,0.20606102238789684
4.4,1.364219931535963,0.0007007268825629181,0.21660003509436276
4.48,1.4662902725644784,0.0007381483876306292,0.22744312323076846
4.5600000000000005,1.5723887832794328,0.0007768263738774558,0.23859091719757064
4.64,1.6823718709555002,0.0008167781158810719,0.25004387275920087
4.72,1.7960738662184204,0.0008580207347376008,0.26180227272086654
4.8,1.9133096467112447,0.0009005711990348421,0.2738662289597444
4.88,2.033877131761894,0.0009444463262935176,0.28623568446064873
4.96,2.1575601028424063,0.0009896627838976704,0.2989104149398004
5.04,2.2841312203663313,0.0010362370904650772,0.3118900322073962
5.12,2.4133556664316504,0.0010841856167440845,0.32517398456319385
5.2,2.544994245845867,0.0011335245868850994,0.33876156237141813
5.28,2.678806677123185,0.0011842700793194643,0.3526518970392948
5.36,2.8145547851578794,0.0012364380278937004,0.3668439679234545
5.44,2.952005274664783,0.001290044222754717,0.38133660128407015
5.5200000000000005,3.090932070559951,0.001345104311294986,0.39612847685262315
5.6000000000000005,3.231118423906283,0.0014016337990803225,0.41121812790701956
5.68,3.372358523140006,0.0014596480505363343,0.426603947060505
5.76,3.5144583887765584,0.0015191622899713394,0.4422841872435424
5.84,3.657236698675068,0.0015801916019110276,0.4582569673651941
5.92,3.800525295350544,0.0016427509322887875,0.4745202735157195
6.0,3.944169081417756,0.001706855088316471,0.4910719649388116
6.08,4.088025772610691,0.0017725187398954846,0.5079097753026189
6.16,4.231965558987839,0.0018397564190219809,0.5250313187593522
6.24,4.375870626220336,0.0019085825211793237,0.5424340916049389
6.32,4.519634343091598,0.0019790113037859826,0.5601154779454944
6.4,4.663160594325701,0.002051056889379381,0.5780727521485417
6.48,4.806363039674298,0.002124733264000157,0.5963030838501898
6.5600000000000005,4.949164352710299,0.0022000542734005265,0.6148035411449498
6.640000000000001,5.091495431396971,0.0022770336324035943,0.6335710954908197
6.72,5.233294703182282,0.0023556849173420433,0.6526026246898318
6.8,5.374507437298446,0.0024360215610530816,0.6718949167803415
6.88,5.515085069164549,0.0025180568675256085,0.6914446760233393
6.96,5.654984648878913,0.002601803998666841,0.7112485251250514
7.04,5.79416831490656,0.002687275970419074,0.7313030082894055
7.12,5.93260254807244,0.002774485667904528,0.7516045983031763
7.2,6.070258158119311,0.002863445829840728,0.7721496998513503
7.28,6.20710906736101,0.002954169046147419,0.7929346505563046
7.36,6.343133151567069,0.0030466677711930403,0.8139557282296304
7.44,6.478310453063136,0.003140954307053902,0.835209154647731
7.5200000000000005,6.612624419880001,0.003237040802214589,0.8566910978901308
7.6000000000000005,6.7460602358799235,0.0033349392635832744,0.8783976773597111
7.68,6.878605616436031,0.0034346615369724985,0.9003249659196148
7.76,7.010249806177199,0.003536219307525817,0.9224689972864452
7.84,7.140983965660778,0.003639624111049277,0.9448257673278108
7.92,7.270800436209851,0.003744887310049874,0.9673912341608584
8.0,7.399693223446229,0.003852020097337346,0.9901613301587759
8.08,7.527657188563268,0.003961033505534002,1.0131319603225917
8.16,7.65468857268177,0.00407193837855637,1.0362990019281415
8.24,7.780784376148337,0.004184745379675595,1.059658316923469
8.32,7.905942586808014,0.004299464997176481,1.0832057506844466
8.4,8.030161889632577,0.004416107512162747,1.1069371315401357
8.48,8.15344168036389,0.00453468301193075,1.130848280239951
8.56,8.275781914638083,0.0046552013898336474,1.1549350124088456
8.64,8.39718311447314,0.004777672310496575,1.1791931362074881
8.72,8.517646247659055,0.004902105229047843,1.2036184590885428
8.8,8.637172725379854,0.0050285093835794655,1.228206794257618
8.88,8.755764349921513,0.005156893739592386,1.2529539563663143
8.96,8.873423249149496,0.005287267053619103,1.277855765084517
9.040000000000001,8.99015188780647,0.005419637842551197,1.3029080559801294
9.120000000000001,9.105952977604494,0.00555401437198124,1.3281066743338996
9.200000000000001,9.220829494038387,0.005690404613499628,1.3534474754694288
9.28,9.334784636573845,0.005828816183319399,1.37892633951465
9.36,9.44782182091656,0.005969256568651055,1.404539163864088
9.44,9.559944550442594,0.006111732920267758,1.4302818607233347
9.52,9.671156498094541,0.00625625210158201,1.4561503745571927
9.6,9.78146166752077,0.006402820494173371,1.4821406738680116
9.68,9.890863856206646,0.00655144430319702,1.5082487464610295
9.76,9.999366979653582,0.006702129427224433,1.5344706185851236
9.84,10.106975465231773,0.006854881398710769,1.5608023458750184
9.92,10.213693368149391,0.007009705374795746,1.5872400096579626
10.0,10.319524854641775,0.007166606052089908,1.6137797313317912
10.08,10.424474348981896,0.007325587912973956,1.6404176683840734
10.16,10.52854633001109,0.007486655001017514,1.6671500096819194
10.24,10.631745127957057,0.0076498109700122606,1.6939729843558244
10.32,10.734075215859773,0.007815059093433383,1.7208828638507487
10.4,10.835541222599215,0.007982402226402605,1.7478759556466363
10.48,10.936147648755961,0.008151842802736843,1.7749486076889232
10.56,11.035899069832265,0.008323382835352373,1.8020972150858257
10.64,11.134800121421755,0.008497023936850211,1.829318212828039
10.72,11.232855412674077,0.008672767444395333,1.8566080767069422
10.8,11.330069573445678,0.00885061403466681,1.883963333198143
10.88,11.426447253261491,0.009030564022408236,1.9113805517187368
10.96,11.52199309950659,0.009212617271106279,1.938856342948844
11.040000000000001,11.616711745253381,0.00939677341423248,1.9663873706007111
11.120000000000001,11.710607836459596,0.00958303154345655,1.9939703436429472
11.200000000000001,11.803686048390992,0.009771390195583846,2.021602012822927
11.28,11.895950997311726,0.009961847527924618,2.0492791832688693
11.36,11.987407305705172,0.010154401294476017,2.076998706949683
11.44,12.078059652342219,0.010349049178657657,2.1047574783091587
11.52,12.167912640238258,0.01054578794549674,2.132552446394454
11.6,12.256970882638912,0.01074461410680636,2.1603806078260224
11.68,12.345239003437568,0.010945523744868301,2.188239000200993
11.76,12.432721610082929,0.011148512786369162,2.2161247165981344
11.84,12.519423291537263,0.01135357669304323,2.2440349004416125
11.92,12.605348631260624,0.01156071033492328,2.271966744644619
12.0,12.690502202446702,0.011769908298677823,2.2999174910483857
12.08,12.774888562792526,0.011981164814139158,2.3278844027603522
12.16,12.858512257072109,0.012194474139230789,2.3558648297841325
12.24,12.941377816450947,0.012409829685354604,2.383856159279772
12.32,13.02348975513596,0.012627224699768838,2.4118558289594683
12.4,13.104852571033035,0.012846652096618633,2.439861314379786
12.48,13.185470752839706,0.013068104621832055,2.467870117849355
12.56,13.265348768549272,0.013291574721558489,2.495879831238681
