task1.time,task1.SOCS3,task2.SOCS3,task3.SOCS3,task1.pSTAT5,task2.pSTAT5,task3.pSTAT5,task1.CIS,task2.CIS,task3.CIS
4.92,0.00034399841152767455,294.8441267068635,0.00013342759307778974,43.52436365531334,0.016291287973338776,4.60821894977651,2.35702078572651e-07,3.407965633544706e-10,579.750513774035
5.04,0.0004219834082662167,294.84412677977474,0.00015717678838280433,45.24080256404844,0.017076299507079718,4.79119852372179,2.9891617773273515e-07,4.192101393858621e-10,579.7445566213808
5.16,0.0005149165373716393,294.84412686314,0.00018426097637173758,46.797990262408725,0.017878921579265114,4.975029010680345,3.770892446047915e-07,5.13043543122881e-10,579.738605474462
5.279999999999999,0.0006251005934361769,294.844126958071,0.000215021254902566,48.192394482070895,0.018699100895788193,5.159535580895041,4.7329080726909367e-07,6.248333550799291e-10,579.7326603280536
5.3999999999999995,0.000755091117147953,294.8441270657551,0.00024981956355431555,49.42545513227678,0.019536784394058752,5.344546418376109,5.911207955883814e-07,7.574537910154986e-10,579.726721177044
5.52,0.000907708097056314,294.8441271874565,0.0002890388752504337,50.50287030145151,0.020391919145129462,5.52989304804925,7.347827640247723e-07,9.141547015918137e-10,579.7207880164452
5.64,0.0010860459095964191,294.8441273245181,0.00033308324527027986,51.433648913715935,0.02126445227259271,5.715410639133813,9.091641684912201e-07,1.0985947933062217e-09,579.7148608414041
5.76,0.001293481233678459,294.84412747836296,0.0003823778569395443,52.22908195010401,0.02215433083550784,5.9009382935116355,1.1199239576579746e-06,1.3148836926386948e-09,579.708939647215
5.88,0.0015336787265605722,294.84412765049524,0.0004373689924363465,52.901758316452835,0.02306150168934197,6.086319319734977,1.373587699934799e-06,1.5676267300557228e-09,579.7030244293321
6.0,0.001810594109547464,294.8441278425021,0.0004985239853557778,53.46472146429464,0.02398591136645586,6.271401500512483,1.6776508897488062e-06,1.8619658475605084e-09,579.6971151833827
6.12,0.002128474608774919,294.84412805605416,0.0005663310117628832,53.9308157153727,0.02492750589700173,6.4560373139521205,2.0406901251567e-06,2.2036315518946103e-09,579.6912119051825
6.24,0.00249185655688517,294.84412829290665,0.0006412988950713492,54.3122236865721,0.025886230611754865,6.640084152331182,2.4724825367124553e-06,2.598995775291616e-09,579.6853145907497
6.359999999999999,0.0029055601000504356,294.8441285549005,0.0007239568428954127,54.62017735019069,0.02686202996981823,6.823404516047129,2.984133547907446e-06,3.0551211376665026e-09,579.6794232363224
6.4799999999999995,0.003374680999474821,294.8441288439628,0.0008148541515733573,54.86481010131538,0.027854847290560748,7.005866197291031,3.588213050780012e-06,3.5798240798075102e-09,579.6735378383734
6.6,0.0039045795730485787,294.84412916210755,0.0009145597648231331,55.05511317650884,0.02886462448030539,7.1873424025326145,4.298900029834055e-06,4.1817363247511424e-09,579.6676583936302
6.72,0.0045008668714647156,294.8441295114362,0.0010236617937195653,55.19896309419226,0.02989130178682131,7.367711852393771,5.132135658854566e-06,4.870363595809446e-09,579.661784899094
6.84,0.005169388262358835,294.844129894138,0.001142767394970668,55.30319257171112,0.03093481741135529,7.546859040501825,6.105784792373392e-06,5.656160658571719e-09,579.6559173520533
6.96,0.005916204599611345,294.8441303124904,0.0012725015405850599,55.37368448358079,0.03199510713777039,7.724674005638604,7.239805900381964e-06,6.550602262979342e-09,579.6500557501163
7.08,0.006747570890939983,294.84413076885915,0.0014135076563534168,55.41546819215111,0.03307210398947159,7.901052924536989,8.556430651494675e-06,7.566252230974326e-09,579.6442000912114
7.199999999999999,0.007669914011229384,294.8441312656988,0.0015664453692803566,55.43282046874794,0.0341657376883727,8.075897418581839,1.0080348243516592e-05,8.716851255610923e-09,579.638350373638
7.319999999999999,0.008689809506666915,294.8441318055521,0.0017319916960866783,55.42938654362724,0.03527593416636276,8.24911540500255,1.1838894119093123e-05,1.0017398102310616e-08,579.6325065960566
7.4399999999999995,0.009813953894400007,294.84413239105027,0.0019108386117389186,55.408352229811605,0.036402615027315184,8.420620275865641,1.3862259596289469e-05,1.1484235786218856e-08,579.6266687575452
7.56,0.011049138614314733,294.84413302491316,0.0021036936323631872,55.37233866214479,0.0375456968413904,8.590331511555897,1.6183699735504474e-05,1.3135151636066934e-08,579.6208368575985
7.68,0.012402223399164677,294.8441337099492,0.0023112782559805076,55.32355587534473,0.03870509095706074,8.75817421543618,1.883974475858081e-05,1.498943438022799e-08,579.6150108961717
7.8,0.013880107118273994,294.84413444905465,0.0025343275803452517,55.263818614928134,0.03988070166458491,8.924079281775219,2.1870432324254828e-05,1.7068066237353494e-08,579.6091908736967
7.92,0.015489701836458038,294.8441352452149,0.002773589397491714,55.19476661835275,0.041072427439565344,9.087983233872963,2.5319532032235392e-05,1.939366357797116e-08,579.6033767911138
8.04,0.01723790553053751,294.84413610150057,0.0030298233565405957,55.11776027913788,0.04228015774945253,9.249828138685366,2.923478285987107e-05,2.1990779927852686e-08,579.5975686499005
8.16,0.019131575305867937,294.8441370210702,0.003303800210987343,55.033989556808635,0.04350377405875518,9.409561553614093,3.3668130146581355e-05,2.4885865798529814e-08,579.5917664520978
8.28,0.02117750166752357,294.84413800716897,0.0035963008124250437,54.94442299769052,0.04474314835356851,9.567136307334417,3.867598114933252e-05,2.810743572877727e-08,579.5859702003459
8.4,0.023382383744058013,294.8441390631266,0.003908115440348232,54.849889204122825,0.04599814116898747,9.722510512553436,4.4319455478362316e-05,3.168627704898618e-08,579.5801798979076
