task1.time,task1.pSTAT5,task1.CIS,task1.SOCS3,task1.SOCS3RNA,task1.CISRNA
21.25,42.09427999145209,0.07545560552598883,1.5068728145546133,0.008677602593889876,0.006478304330618755
21.5,41.86773489948326,0.08135307097901016,1.5543315711167038,0.008950899945972928,0.0068639859580233754
21.75,41.64246593394574,0.08759491522941498,1.602153160693566,0.00922628667328482,0.007264202671014863
22.0,41.418471253672884,0.09419367985951083,1.6503209345548338,0.009503666903080266,0.0076790871190398685
22.25,41.19575105447064,0.10116198784287733,1.6988185731100496,0.009782946658001791,0.008108758999632194
22.5,40.97430669073262,0.10851253728460547,1.7476301017827438,0.010064033947483333,0.00855332416798691
22.75,40.75413710154291,0.11625809344166281,1.7967399011167422,0.01034683882594186,0.009012873957014934
23.0,40.535236765802715,0.12441146647523843,1.846132677687506,0.010631273225277718,0.009487486539621235
23.25,40.317603664801005,0.13298550724267894,1.8957934772151386,0.010917251030377965,0.009977225140343831
23.5,40.10123473214618,0.14199308958580525,1.945707672460058,0.011204688009416618,0.010482139430075196
23.75,39.88612621551894,0.15144709896493783,1.995860959595455,0.01149350179296336,0.011002264762439942
24.0,39.672273932231704,0.16136041976856752,2.0462393528138945,0.011783611842925009,0.011537622192189291
24.25,39.459675064170746,0.17174592236722716,2.096829178274436,0.012074939417690495,0.0120882192353324
24.5,39.24832580641218,0.18261645025937823,2.147617072256021,0.012367407561494192,0.012654048724005829
24.75,39.03822184001037,0.19398480790321854,2.198589969100621,0.012660941034989423,0.013235090246203266
25.0,38.82935928899298,0.20586374739231086,2.2497351018322664,0.01295546631880975,0.013831309209069763
25.25,38.621733983030076,0.21826595662639964,2.301039994671399,0.013250911570463488,0.01444265736702084
25.5,38.41534060352984,0.23120404796300292,2.3524924559211486,0.013547206583369959,0.015069073407365218
25.75,38.21017423262096,0.24469054287134764,2.4040805752235004,0.013844282771056574,0.01571048209457004
26.0,38.00622987989004,0.2587378663745451,2.4557927193920213,0.014142073143162787,0.01636679571320749
26.25,37.803501902179285,0.2733583277769188,2.5076175238212297,0.014440512255969717,0.017037913145691495
